mm_id,entity_id,traj_id,rid_list,time_list
12230465,15078,217,"7924,7943,34213,21623,21621,21628,21630,20106,20101,19580,17773,17772,17778,17765,34731,17767,17785,17794,8208,1895,3331,22917,20419,6772,27191,15766,3426,3427,3430","2015-11-06T06:03:32Z,2015-11-06T06:04:15Z,2015-11-06T06:04:45Z,2015-11-06T06:05:14Z,2015-11-06T06:05:15Z,2015-11-06T06:06:15Z,2015-11-06T06:07:36Z,2015-11-06T06:07:45Z,2015-11-06T06:08:12Z,2015-11-06T06:08:15Z,2015-11-06T06:08:23Z,2015-11-06T06:08:45Z,2015-11-06T06:09:09Z,2015-11-06T06:09:15Z,2015-11-06T06:09:24Z,2015-11-06T06:09:27Z,2015-11-06T06:09:40Z,2015-11-06T06:09:50Z,2015-11-06T06:09:53Z,2015-11-06T06:10:07Z,2015-11-06T06:10:15Z,2015-11-06T06:10:27Z,2015-11-06T06:10:45Z,2015-11-06T06:10:55Z,2015-11-06T06:11:15Z,2015-11-06T06:11:45Z,2015-11-06T06:12:15Z,2015-11-06T06:12:44Z,2015-11-06T06:12:45Z"
3987100,4900,330,"2501,13796,7419,314,1660,643,14226,3972,644,18251,646,647,648,29203,14256,14249,14257,14239,14258,204,15846,15841,15869,15861,599,14270,14264,14266,2509,14293,4890,1877,601,23285,23292,23320,23308,23319,3050,3044,1011","2015-11-07T09:14:32Z,2015-11-07T09:14:59Z,2015-11-07T09:15:15Z,2015-11-07T09:15:29Z,2015-11-07T09:15:59Z,2015-11-07T09:16:58Z,2015-11-07T09:17:01Z,2015-11-07T09:17:25Z,2015-11-07T09:17:29Z,2015-11-07T09:17:43Z,2015-11-07T09:17:59Z,2015-11-07T09:18:01Z,2015-11-07T09:18:03Z,2015-11-07T09:18:26Z,2015-11-07T09:18:29Z,2015-11-07T09:18:43Z,2015-11-07T09:18:59Z,2015-11-07T09:19:29Z,2015-11-07T09:19:59Z,2015-11-07T09:20:29Z,2015-11-07T09:20:40Z,2015-11-07T09:20:59Z,2015-11-07T09:21:21Z,2015-11-07T09:21:29Z,2015-11-07T09:21:49Z,2015-11-07T09:21:59Z,2015-11-07T09:22:11Z,2015-11-07T09:22:29Z,2015-11-07T09:23:10Z,2015-11-07T09:23:29Z,2015-11-07T09:24:11Z,2015-11-07T09:24:29Z,2015-11-07T09:25:59Z,2015-11-07T09:26:31Z,2015-11-07T09:27:29Z,2015-11-07T09:28:25Z,2015-11-07T09:28:29Z,2015-11-07T09:28:59Z,2015-11-07T09:29:19Z,2015-11-07T09:29:21Z,2015-11-07T09:29:29Z"
3908186,4795,251,"21534,21538,19769,3435,2614,19794,21545,19884,14680,2431,2433,16483,16487,16525,16514,17251","2015-11-06T18:07:24Z,2015-11-06T18:09:24Z,2015-11-06T18:10:47Z,2015-11-06T18:10:54Z,2015-11-06T18:10:59Z,2015-11-06T18:11:05Z,2015-11-06T18:11:24Z,2015-11-06T18:15:24Z,2015-11-06T18:16:24Z,2015-11-06T18:17:01Z,2015-11-06T18:17:24Z,2015-11-06T18:22:24Z,2015-11-06T18:28:24Z,2015-11-06T18:33:24Z,2015-11-06T18:34:01Z,2015-11-06T18:34:24Z"
7669947,9467,269,"3824,1217,2853,2849,31604,12448,1480,12411,24588,980,37174,24593,36221,39812,39815,24287,24302,36236,36234,36229,28053,24283,24213,24576,28035","2015-11-06T18:10:53Z,2015-11-06T18:11:18Z,2015-11-06T18:11:25Z,2015-11-06T18:11:57Z,2015-11-06T18:12:13Z,2015-11-06T18:12:18Z,2015-11-06T18:13:08Z,2015-11-06T18:13:20Z,2015-11-06T18:14:20Z,2015-11-06T18:15:20Z,2015-11-06T18:16:20Z,2015-11-06T18:17:20Z,2015-11-06T18:19:09Z,2015-11-06T18:19:12Z,2015-11-06T18:19:17Z,2015-11-06T18:19:20Z,2015-11-06T18:19:29Z,2015-11-06T18:19:38Z,2015-11-06T18:19:39Z,2015-11-06T18:19:41Z,2015-11-06T18:19:56Z,2015-11-06T18:19:59Z,2015-11-06T18:20:20Z,2015-11-06T18:21:20Z,2015-11-06T18:23:21Z"
10040238,12419,45,"38598,38601,38603,23405,33081,23406,23764,13819,30781,30779,13831,13827,17317,17318,17321,17324,17326,17325,17266,17292,34593,24461,4562,4560,17219,24622,32288,17210,27199,24641,27200,19828,27202,16404,7495","2015-11-03T15:44:39Z,2015-11-03T15:45:01Z,2015-11-03T15:45:16Z,2015-11-03T15:45:21Z,2015-11-03T15:45:31Z,2015-11-03T15:45:44Z,2015-11-03T15:45:46Z,2015-11-03T15:45:48Z,2015-11-03T15:45:56Z,2015-11-03T15:46:09Z,2015-11-03T15:46:31Z,2015-11-03T15:46:54Z,2015-11-03T15:47:31Z,2015-11-03T15:47:43Z,2015-11-03T15:48:09Z,2015-11-03T15:48:22Z,2015-11-03T15:48:29Z,2015-11-03T15:48:31Z,2015-11-03T15:49:07Z,2015-11-03T15:49:22Z,2015-11-03T15:49:50Z,2015-11-03T15:49:53Z,2015-11-03T15:50:07Z,2015-11-03T15:50:28Z,2015-11-03T15:50:30Z,2015-11-03T15:50:40Z,2015-11-03T15:50:48Z,2015-11-03T15:51:44Z,2015-11-03T15:51:48Z,2015-11-03T15:54:48Z,2015-11-03T15:55:25Z,2015-11-03T15:55:27Z,2015-11-03T15:55:30Z,2015-11-03T15:55:34Z,2015-11-03T15:55:53Z"
12374802,15249,52,"28127,15480,15478,37710,8004,3193,12487,5779,15457,3562,784,13167","2015-11-02T11:45:01Z,2015-11-02T11:45:33Z,2015-11-02T11:45:55Z,2015-11-02T11:46:03Z,2015-11-02T11:46:20Z,2015-11-02T11:46:23Z,2015-11-02T11:46:58Z,2015-11-02T11:47:03Z,2015-11-02T11:49:32Z,2015-11-02T11:49:33Z,2015-11-02T11:50:21Z,2015-11-02T11:50:33Z"
14627254,18037,47,"17674,17677,31754,17693,17699,17711,17715,17720,6826,14366,15036,6824,14029,39472,4887,39310","2015-11-04T09:21:43Z,2015-11-04T09:22:45Z,2015-11-04T09:23:29Z,2015-11-04T09:23:45Z,2015-11-04T09:24:26Z,2015-11-04T09:24:45Z,2015-11-04T09:25:17Z,2015-11-04T09:25:34Z,2015-11-04T09:26:35Z,2015-11-04T09:27:46Z,2015-11-04T09:28:19Z,2015-11-04T09:28:22Z,2015-11-04T09:28:26Z,2015-11-04T09:28:47Z,2015-11-04T09:28:48Z,2015-11-04T09:29:46Z"
810142,1020,78,"17916,3557,241,20797,17925,31373,15496,13250,15481,20440,1310,17942,15494,15491,15477,15476,15474,15454,1734,18588,890,889,13858","2015-11-07T11:25:43Z,2015-11-07T11:25:46Z,2015-11-07T11:25:49Z,2015-11-07T11:26:43Z,2015-11-07T11:27:17Z,2015-11-07T11:27:47Z,2015-11-07T11:28:09Z,2015-11-07T11:28:27Z,2015-11-07T11:28:42Z,2015-11-07T11:28:50Z,2015-11-07T11:28:51Z,2015-11-07T11:29:15Z,2015-11-07T11:29:31Z,2015-11-07T11:29:42Z,2015-11-07T11:29:45Z,2015-11-07T11:30:07Z,2015-11-07T11:30:27Z,2015-11-07T11:30:36Z,2015-11-07T11:30:43Z,2015-11-07T11:31:43Z,2015-11-07T11:32:22Z,2015-11-07T11:32:32Z,2015-11-07T11:32:43Z"
3852759,4721,117,"35020,35016,21086,21088,34959,21100,2885,21097,24556,1312,2690,2687,21093,2684,19711,1932,20482,2888,1940,21561,17265,16530,16527,16485,16482,2619,2621,21546,3945,21500,21497,3952,21604,3961,3963,19500,20410,4433,20405,20406,23967,23966,37851,37852,6667,23973,6666,20414","2015-11-05T15:06:02Z,2015-11-05T15:06:38Z,2015-11-05T15:06:46Z,2015-11-05T15:06:57Z,2015-11-05T15:07:57Z,2015-11-05T15:08:27Z,2015-11-05T15:08:52Z,2015-11-05T15:08:57Z,2015-11-05T15:09:11Z,2015-11-05T15:09:12Z,2015-11-05T15:09:27Z,2015-11-05T15:09:57Z,2015-11-05T15:10:27Z,2015-11-05T15:12:57Z,2015-11-05T15:13:15Z,2015-11-05T15:13:17Z,2015-11-05T15:13:27Z,2015-11-05T15:14:06Z,2015-11-05T15:14:27Z,2015-11-05T15:15:27Z,2015-11-05T15:17:27Z,2015-11-05T15:18:15Z,2015-11-05T15:18:27Z,2015-11-05T15:20:27Z,2015-11-05T15:20:57Z,2015-11-05T15:21:57Z,2015-11-05T15:22:25Z,2015-11-05T15:22:27Z,2015-11-05T15:23:57Z,2015-11-05T15:24:50Z,2015-11-05T15:24:56Z,2015-11-05T15:25:27Z,2015-11-05T15:25:57Z,2015-11-05T15:26:27Z,2015-11-05T15:26:57Z,2015-11-05T15:27:27Z,2015-11-05T15:28:18Z,2015-11-05T15:28:27Z,2015-11-05T15:29:42Z,2015-11-05T15:29:53Z,2015-11-05T15:30:02Z,2015-11-05T15:30:12Z,2015-11-05T15:30:22Z,2015-11-05T15:30:27Z,2015-11-05T15:30:33Z,2015-11-05T15:30:57Z,2015-11-05T15:31:20Z,2015-11-05T15:31:27Z"
2262821,2809,6,"3537,6184,12316,18195,22595,12435","2015-11-01T11:41:48Z,2015-11-01T11:42:06Z,2015-11-01T11:42:07Z,2015-11-01T11:45:27Z,2015-11-01T11:46:07Z,2015-11-01T11:47:07Z"
16508007,20347,37,"17705,14945,6953,13087,8515,6951,14031,14025,38303,605,607,27318,14415,14414,14419,38818,13576,13467,14423,13355,1119,17966,1117,14071,19889,6726,6968,1141,1145,6733,13604,19124,15776,15771,24564,17750,20792,1340,15782,17755,56","2015-11-03T08:11:56Z,2015-11-03T08:12:25Z,2015-11-03T08:12:43Z,2015-11-03T08:14:57Z,2015-11-03T08:15:21Z,2015-11-03T08:15:43Z,2015-11-03T08:16:28Z,2015-11-03T08:16:43Z,2015-11-03T08:17:17Z,2015-11-03T08:17:43Z,2015-11-03T08:18:43Z,2015-11-03T08:19:43Z,2015-11-03T08:21:43Z,2015-11-03T08:29:43Z,2015-11-03T08:32:43Z,2015-11-03T08:33:43Z,2015-11-03T08:33:59Z,2015-11-03T08:34:05Z,2015-11-03T08:34:22Z,2015-11-03T08:34:38Z,2015-11-03T08:34:43Z,2015-11-03T08:35:28Z,2015-11-03T08:35:43Z,2015-11-03T08:36:14Z,2015-11-03T08:37:19Z,2015-11-03T08:37:43Z,2015-11-03T08:38:43Z,2015-11-03T08:40:43Z,2015-11-03T08:41:35Z,2015-11-03T08:41:43Z,2015-11-03T08:42:53Z,2015-11-03T08:44:07Z,2015-11-03T08:44:31Z,2015-11-03T08:44:34Z,2015-11-03T08:44:38Z,2015-11-03T08:44:43Z,2015-11-03T08:46:43Z,2015-11-03T08:48:43Z,2015-11-03T08:53:43Z,2015-11-03T08:54:09Z,2015-11-03T08:55:43Z"
15846320,19562,69,"23312,23314,2545,4960,23315,4959,14352,4888,4903,4905,14335,14277,14292,1968,1963,1475,1473,1477,23461,19281,1479,15834,15828,15832,15849,15871,15858,3983,1679,30472,38299,17411,17412,17416,17418,17421,23926,17422,130,9283,9093,9390,22785,9515,1603,1708,4881,133","2015-11-03T15:15:15Z,2015-11-03T15:15:27Z,2015-11-03T15:15:44Z,2015-11-03T15:15:56Z,2015-11-03T15:16:04Z,2015-11-03T15:16:43Z,2015-11-03T15:16:54Z,2015-11-03T15:17:04Z,2015-11-03T15:17:22Z,2015-11-03T15:17:28Z,2015-11-03T15:17:33Z,2015-11-03T15:18:03Z,2015-11-03T15:18:15Z,2015-11-03T15:18:33Z,2015-11-03T15:19:03Z,2015-11-03T15:20:34Z,2015-11-03T15:21:04Z,2015-11-03T15:23:34Z,2015-11-03T15:24:13Z,2015-11-03T15:24:32Z,2015-11-03T15:24:35Z,2015-11-03T15:25:08Z,2015-11-03T15:25:27Z,2015-11-03T15:26:21Z,2015-11-03T15:26:37Z,2015-11-03T15:27:04Z,2015-11-03T15:27:34Z,2015-11-03T15:27:49Z,2015-11-03T15:27:56Z,2015-11-03T15:28:04Z,2015-11-03T15:28:34Z,2015-11-03T15:29:37Z,2015-11-03T15:30:06Z,2015-11-03T15:30:26Z,2015-11-03T15:30:39Z,2015-11-03T15:31:06Z,2015-11-03T15:32:25Z,2015-11-03T15:32:29Z,2015-11-03T15:32:36Z,2015-11-03T15:32:51Z,2015-11-03T15:33:06Z,2015-11-03T15:33:36Z,2015-11-03T15:33:54Z,2015-11-03T15:34:06Z,2015-11-03T15:34:36Z,2015-11-03T15:35:05Z,2015-11-03T15:35:35Z,2015-11-03T15:36:05Z"
15473676,19101,81,"13201,20442,4383,13964,10282,13975,34742,3609,17874,3607,17873,3608,3611,10378,23018,23020,3310,3312,17858,17863,1128,1125,3383,3384,14426,16578,16579,39498,9922,6855,6857,17965,6901,6898","2015-11-03T14:39:27Z,2015-11-03T14:39:52Z,2015-11-03T14:39:54Z,2015-11-03T14:40:00Z,2015-11-03T14:40:10Z,2015-11-03T14:40:17Z,2015-11-03T14:40:30Z,2015-11-03T14:40:33Z,2015-11-03T14:40:44Z,2015-11-03T14:41:00Z,2015-11-03T14:41:03Z,2015-11-03T14:41:05Z,2015-11-03T14:41:07Z,2015-11-03T14:41:09Z,2015-11-03T14:41:10Z,2015-11-03T14:41:11Z,2015-11-03T14:41:12Z,2015-11-03T14:41:15Z,2015-11-03T14:41:16Z,2015-11-03T14:41:16Z,2015-11-03T14:41:16Z,2015-11-03T14:41:19Z,2015-11-03T14:41:20Z,2015-11-03T14:41:30Z,2015-11-03T14:42:00Z,2015-11-03T14:42:30Z,2015-11-03T14:42:54Z,2015-11-03T14:42:58Z,2015-11-03T14:43:01Z,2015-11-03T14:43:17Z,2015-11-03T14:43:21Z,2015-11-03T14:43:31Z,2015-11-03T14:44:12Z,2015-11-03T14:44:30Z"
14180132,17470,128,"28260,22858,22856,22055,22057,21117,21115,16965,16971,16985,16987","2015-11-04T10:04:44Z,2015-11-04T10:04:53Z,2015-11-04T10:05:03Z,2015-11-04T10:05:34Z,2015-11-04T10:05:53Z,2015-11-04T10:06:03Z,2015-11-04T10:06:07Z,2015-11-04T10:06:15Z,2015-11-04T10:06:24Z,2015-11-04T10:06:45Z,2015-11-04T10:06:53Z"
10837900,13396,198,"13137,2774,2773,27728,2770,27725,20714,39822,39824,39826,39821,13141,13140","2015-11-04T17:32:08Z,2015-11-04T17:33:15Z,2015-11-04T17:34:15Z,2015-11-04T17:34:31Z,2015-11-04T17:34:32Z,2015-11-04T17:34:32Z,2015-11-04T17:34:57Z,2015-11-04T17:35:11Z,2015-11-04T17:35:12Z,2015-11-04T17:35:13Z,2015-11-04T17:35:15Z,2015-11-04T17:35:45Z,2015-11-04T17:38:46Z"
